[28237, 'OFFENSE 2.0', '3921(a)', 'Theft by Unlawful Taking or Disposition - Movable item', '2015-04-23 16:15:00', '600 block Liberty Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[27653, 'OFFENSE 2.0', '3701', 'Robbery.', '2015-04-24 06:15:00', '1000 block Penn Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[28426, 'OFFENSE 2.0', '2709', 'Harassment (Non-Specific)', '2015-04-24 10:30:00', '300 block 3rd Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[28607, 'OFFENSE 2.0', '3921(a)', 'Theft by Unlawful Taking or Disposition - Movable item', '2015-04-25 18:05:00', 'Liberty Ave & Market St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[28769, 'OFFENSE 2.0', '3921', 'Theft by Unlawful Taking or Disposition.', '2015-04-26 09:14:00', '500 block Smithfield St', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[28785, 'OFFENSE 2.0', '3921', 'Theft by Unlawful Taking or Disposition.', '2015-04-26 17:45:00', '7th Ave & Penn Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[28899, 'OFFENSE 2.0', '3502', 'Burglary.', '2015-04-27 09:15:00', '900 block Penn Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[28152, 'OFFENSE 2.0', '2701', 'Simple Assault.', '2015-04-27 12:25:00', '300 block 5th Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[28910, 'OFFENSE 2.0', '3701', 'Robbery.', '2015-04-27 12:25:00', '300 block 5th Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
[28155, 'OFFENSE 2.0', '3929', 'Retail Theft.', '2015-04-27 19:52:00', '400 block 5th Ave', 'Golden Triangle/Civic Arena', 2] : could not match any neighborhood
